variable_name,description,source,origin_dataset,relevant_URLs,output_relation
tran_count_ind,Number of transactions for total_amount_ind,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_1)
total_amount_without_LTS1_ind,"Total amount of all individual contributions going to all election types before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_1)
tran_count_without_LTS1_ind,Number of transactions for total_amount_without_LTS1_ind,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_1)
total_amount_no_primary_ind,Total amount of all individual contributions going to all election types (except primary elections) in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_1)
tran_count_no_primary_ind,Number of transactions for total_amount_no_primary_ind,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_1)
total_amount_no_primary_without_LTS1_ind,"Total amount of all individual contributions going to all election types (except primary elections) before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_1)
tran_count_no_primary_without_LTS1_ind,Number of transactions for total_amount_no_primary_without_LTS1_ind,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_1)
total_amount_primary_ind,Total amount of all individual contributions going to primary elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_1)
tran_count_primary_ind,Number of transactions for total_amount_primary_ind,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_1)
total_amount_primary_without_LTS1_ind,"Total amount of all individual contributions going to primary elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_1)
tran_count_primary_without_LTS1_ind,Number of transactions for total_amount_primary_without_LTS1_ind,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_1)
total_amount_gen_ind,Total amount of all individual contributions going to general elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_1)
tran_count_gen_ind,Number of transactions for total_amount_gen_ind,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_1)
total_amount_gen_without_LTS1_ind,"Total amount of all individual contributions going to general elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_1)
tran_count_gen_without_LTS1_ind,Number of transactions for total_amount_gen_without_LTS1_ind,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_1)
total_amount_special_ind,Total amount of all individual contributions going to special elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_1)
tran_count_special_ind,Number of transactions for total_amount_special_ind,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_1)
total_amount_special_without_LTS1_ind,"Total amount of all individual contributions going to special elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_1)
tran_count_special_without_LTS1_ind,Number of transactions for total_amount_special_without_LTS1_ind,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_1)
total_amount_dem_gen_ind,Total amount of all individual contributions going to Democratic candidate in general elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_1)
tran_count_dem_gen_ind,Number of transactions for total_amount_dem_gen_ind,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_1)
total_amount_dem_gen_without_LTS1_ind,"Total amount of all individual contributions going to Democratic candidate in general elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_1)
tran_count_dem_gen_without_LTS1_ind,Number of transactions for total_amount_dem_gen_without_LTS1_ind,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_1)
total_amount_dem_primary_ind,Total amount of all individual contributions going to Democratic candidates in primary elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_1)
tran_count_dem_primary_ind,Number of transactions for total_amount_dem_primary_ind,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_1)
total_amount_dem_primary_without_LTS1_ind,"Total amount of all individual contributions going to Democratic candidates in primary elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_1)
tran_count_dem_primary_without_LTS1_ind,Number of transactions for total_amount_dem_primary_without_LTS1_ind,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_1)
total_amount_dem_special_ind,Total amount of all individual contributions going to Democratic candidates in special elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_1)
tran_count_dem_special_ind,Number of transactions for total_amount_dem_special_ind,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_1)
total_amount_dem_special_without_LTS1_ind,"Total amount of all individual contributions going to Democratic candidates in special elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_1)
tran_count_dem_special_without_LTS1_ind,Number of transactions for total_amount_dem_special_without_LTS1_ind,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_1)
total_amount_rep_gen_ind,Total amount of all individual contributions going to Republican candidate in general elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_1)
tran_count_rep_gen_ind,Number of transactions for total_amount_rep_gen_ind,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_1)
total_amount_rep_gen_without_LTS1_ind,"Total amount of all individual contributions going to Republican candidate in general elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_1)
tran_count_rep_gen_without_LTS1_ind,Number of transactions for total_amount_rep_gen_without_LTS1_ind,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_1)
total_amount_rep_primary_ind,Total amount of all individual contributions going to Republican candidates in primary elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_1)
tran_count_rep_primary_ind,Number of transactions for total_amount_rep_primary_ind,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_1)
total_amount_rep_primary_without_LTS1_ind,"Total amount of all individual contributions going to Republican candidates in primary elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_1)
tran_count_rep_primary_without_LTS1_ind,Number of transactions for total_amount_rep_primary_without_LTS1_ind,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_1)
total_amount_rep_special_ind,Total amount of all individual contributions going to Republican candidates in special elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_1)
tran_count_rep_special_ind,Number of transactions for total_amount_rep_special_ind,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_1)
total_amount_rep_special_without_LTS1_ind,"Total amount of all corporate contributions going to Democratic candidates in special elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_1)
tran_count_rep_special_without_LTS1_ind,Number of transactions for total_amount_rep_special_without_LTS1_ind,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_1)
total_amount_smallind,Total amount of all individual contributions with small donations (less than 200) going to all election types in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_2)
tran_count_smallind,Number of transactions for total_amount_smallind,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_2)
total_amount_without_LTS1_smallind,"Total amount of all individual contributions with small donations (less than 200) going to all election types before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_2)
tran_count_without_LTS1_smallind,Number of transactions for total_amount_without_LTS1_smallind,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_2)
total_amount_no_primary_smallind,Total amount of all individual contributions with small donations (less than 200) going to all election types (except primary elections) in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_2)
tran_count_no_primary_smallind,Number of transactions for total_amount_no_primary_smallind,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_2)
total_amount_no_primary_without_LTS1_smallind,"Total amount of all individual contributions with small donations (less than 200) going to all election types (except primary elections) before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_2)
tran_count_no_primary_without_LTS1_smallind,Number of transactions for total_amount_no_primary_without_LTS1_smallind,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_2)
total_amount_primary_smallind,Total amount of all individual contributions with small donations (less than 200) going to primary elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_2)
tran_count_primary_smallind,Number of transactions for total_amount_primary_smallind,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_2)
total_amount_primary_without_LTS1_smallind,"Total amount of all individual contributions with small donations (less than 200) going to primary elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_2)
tran_count_primary_without_LTS1_smallind,Number of transactions for total_amount_primary_without_LTS1_smallind,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_2)
total_amount_gen_smallind,Total amount of all individual contributions with small donations (less than 200) going to general elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_2)
tran_count_gen_smallind,Number of transactions for total_amount_gen_smallind,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_2)
total_amount_gen_without_LTS1_smallind,"Total amount of all individual contributions with small donations (less than 200) going to general elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_2)
tran_count_gen_without_LTS1_smallind,Number of transactions for total_amount_gen_without_LTS1_smallind,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_2)
total_amount_special_smallind,Total amount of all individual contributions with small donations (less than 200) going to special elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_2)
tran_count_special_smallind,Number of transactions for total_amount_special_smallind,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_2)
total_amount_special_without_LTS1_smallind,"Total amount of all individual contributions with small donations (less than 200) going to special elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_2)
tran_count_special_without_LTS1_smallind,Number of transactions for total_amount_special_without_LTS1_smallind,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_2)
total_amount_dem_gen_smallind,Total amount of all individual contributions with small donations (less than 200) going to Democratic candidate in general elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_2)
tran_count_dem_gen_smallind,Number of transactions for total_amount_dem_gen_smallind,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_2)
total_amount_dem_gen_without_LTS1_smallind,"Total amount of all individual contributions with small donations (less than 200) going to Democratic candidate in general elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_2)
tran_count_dem_gen_without_LTS1_smallind,Number of transactions for total_amount_dem_gen_without_LTS1_smallind,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_2)
total_amount_dem_primary_smallind,Total amount of all individual contributions with small donations (less than 200) going to Democratic candidates in primary elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_2)
tran_count_dem_primary_smallind,Number of transactions for total_amount_dem_primary_smallind,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_2)
total_amount_dem_primary_without_LTS1_smallind,"Total amount of all individual contributions with small donations (less than 200) going to Democratic candidates in primary elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_2)
tran_count_dem_primary_without_LTS1_smallind,Number of transactions for total_amount_dem_primary_without_LTS1_smallind,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_2)
total_amount_dem_special_smallind,Total amount of all individual contributions with small donations (less than 200) going to Democratic candidates in special elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_2)
tran_count_dem_special_smallind,Number of transactions for total_amount_dem_special_smallind,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_2)
total_amount_dem_special_without_LTS1_smallind,"Total amount of all individual contributions with small donations (less than 200) going to Democratic candidates in special elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_2)
tran_count_dem_special_without_LTS1_smallind,Number of transactions for total_amount_dem_special_without_LTS1_smallind,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_2)
total_amount_rep_gen_smallind,Total amount of all individual contributions with small donations (less than 200) going to Republican candidate in general elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_2)
tran_count_rep_gen_smallind,Number of transactions for total_amount_rep_gen_smallind,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_2)
total_amount_rep_gen_without_LTS1_smallind,"Total amount of all individual contributions with small donations (less than 200) going to Republican candidate in general elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_2)
tran_count_rep_gen_without_LTS1_smallind,Number of transactions for total_amount_rep_gen_without_LTS1_smallind,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_2)
total_amount_rep_primary_smallind,Total amount of all individual contributions with small donations (less than 200) going to Republican candidates in primary elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_2)
tran_count_rep_primary_smallind,Number of transactions for total_amount_rep_primary_smallind,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_2)
total_amount_rep_primary_without_LTS1_smallind,"Total amount of all individual contributions with small donations (less than 200) going to Republican candidates in primary elections only before the date of the special election in that district-cycle, if applicable (measured in dollars)",DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_2)
tran_count_rep_primary_without_LTS1_smallind,Number of transactions for total_amount_rep_primary_without_LTS1_smallind,DIME data ; ChatGPT ; Wikipedia,"contribDB_1980.csv to contribDB_2024.csv ; dime_recipients_1979_2024.csv ; special_elections_final.csv, election_dates.csv",https://data.stanford.edu/dime ; https://en.wikipedia.org/wiki/List_of_special_elections_to_the_United_States_House_of_Representatives,OUTPUT_4 (or OUTPUT_4_2)
total_amount_rep_special_smallind,Total amount of all individual contributions with small donations (less than 200) going to Republican candidates in special elections only in that district-cycle (measured in dollars),DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_2)
tran_count_rep_special_smallind,Number of transactions for total_amount_rep_special_smallind,DIME data,contribDB_1980.csv to contribDB_2024.csv,https://data.stanford.edu/dime,OUTPUT_4 (or OUTPUT_4_2)
